timestamp,device_id,equipment_type,vibration_rms,vibration_peak,power_w,current_a,temperature_c,state
2026-03-14T15:30:46.066079,DEV001,ventilator,2.548,2.053,171.28,0.554,55.68,anomaly
2026-03-14T15:30:46.066180,DEV001,ventilator,1.986,3.127,133.24,0.78,41.43,anomaly
2026-03-14T15:30:46.066203,DEV001,ventilator,2.503,2.172,151.16,0.766,44.15,anomaly
2026-03-14T15:30:46.066228,DEV001,ventilator,0.552,0.991,90.45,0.413,30.81,normal
2026-03-14T15:30:46.066250,DEV001,ventilator,0.224,1.187,81.25,0.444,31.26,normal
2026-03-14T15:30:46.066269,DEV001,ventilator,1.955,2.639,140.24,0.595,42.31,anomaly
2026-03-14T15:30:46.066285,DEV001,ventilator,2.074,2.106,136.38,0.689,46.81,anomaly
2026-03-14T15:30:46.066301,DEV001,ventilator,0.291,0.794,85.81,0.393,35.38,normal
2026-03-14T15:30:46.066316,DEV001,ventilator,0.285,0.801,86.96,0.486,28.72,normal
2026-03-14T15:30:46.066331,DEV001,ventilator,0.634,0.593,105.41,0.386,33.58,normal
2026-03-14T15:30:46.066347,DEV001,ventilator,0.388,0.848,109.72,0.362,29.59,normal
2026-03-14T15:30:46.066362,DEV001,ventilator,1.8,3.353,156.03,0.879,46.42,anomaly
2026-03-14T15:30:46.066378,DEV001,ventilator,0.505,0.83,81.84,0.369,29.2,normal
2026-03-14T15:30:46.066394,DEV001,ventilator,0.756,0.795,81.17,0.404,33.23,normal
2026-03-14T15:30:46.066409,DEV001,ventilator,0.492,0.611,84.01,0.451,32.61,normal
2026-03-14T15:30:46.066424,DEV001,ventilator,0.558,0.722,86.22,0.406,30.24,normal
2026-03-14T15:30:46.066439,DEV001,ventilator,1.491,3.948,146.34,0.866,49.84,anomaly
2026-03-14T15:30:46.066454,DEV001,ventilator,1.208,4.599,136.18,0.832,52.84,anomaly
2026-03-14T15:30:46.066469,DEV001,ventilator,0.283,1.066,81.7,0.386,28.56,normal
2026-03-14T15:30:46.066485,DEV001,ventilator,0.625,0.984,80.82,0.359,33.11,normal
2026-03-14T15:30:46.066501,DEV001,ventilator,0.734,0.671,106.12,0.383,30.03,normal
2026-03-14T15:30:46.066516,DEV001,ventilator,0.248,0.716,99.4,0.401,29.89,normal
2026-03-14T15:30:46.066541,DEV001,ventilator,0.437,0.896,81.25,0.365,35.48,normal
2026-03-14T15:30:46.066598,DEV001,ventilator,0.228,0.586,89.48,0.354,35.98,normal
2026-03-14T15:30:46.066614,DEV001,ventilator,0.633,1.19,108.39,0.427,31.45,normal
2026-03-14T15:30:46.066630,DEV001,ventilator,0.366,1.112,81.33,0.428,33.42,normal
2026-03-14T15:30:46.066646,DEV001,ventilator,0.648,0.785,100.94,0.425,33.16,normal
2026-03-14T15:30:46.066662,DEV001,ventilator,0.26,0.592,82.24,0.395,31.37,normal
2026-03-14T15:30:46.066678,DEV001,ventilator,0.489,1.06,107.1,0.382,28.03,normal
2026-03-14T15:30:46.066693,DEV001,ventilator,1.809,3.411,161.43,0.774,50.05,anomaly
2026-03-14T15:30:46.066708,DEV001,ventilator,1.594,4.725,123.67,0.827,63.01,anomaly
2026-03-14T15:30:46.066723,DEV001,ventilator,0.729,0.761,95.7,0.426,34.09,normal
2026-03-14T15:30:46.066738,DEV001,ventilator,0.495,0.679,93.1,0.449,30.59,normal
2026-03-14T15:30:46.066754,DEV001,ventilator,1.933,2.259,144.36,0.714,55.57,anomaly
2026-03-14T15:30:46.066769,DEV001,ventilator,0.209,0.71,89.69,0.378,29.88,normal
2026-03-14T15:30:46.066784,DEV001,ventilator,0.742,1.121,100.7,0.44,35.78,normal
2026-03-14T15:30:46.066799,DEV001,ventilator,0.762,0.75,91.38,0.361,30.11,normal
2026-03-14T15:30:46.066815,DEV001,ventilator,0.42,0.869,84.08,0.368,29.04,normal
2026-03-14T15:30:46.066830,DEV001,ventilator,0.519,0.685,85.84,0.353,32.47,normal
2026-03-14T15:30:46.066845,DEV001,ventilator,1.739,4.89,167.74,0.594,59.69,anomaly
2026-03-14T15:30:46.066861,DEV001,ventilator,0.338,1.189,107.67,0.498,30.67,normal
2026-03-14T15:30:46.066876,DEV001,ventilator,0.319,0.616,96.24,0.365,30.16,normal
2026-03-14T15:30:46.066898,DEV001,ventilator,0.63,0.859,108.51,0.46,34.54,normal
2026-03-14T15:30:46.066915,DEV001,ventilator,0.547,0.512,96.9,0.382,30.63,normal
2026-03-14T15:30:46.066931,DEV001,ventilator,0.203,0.719,103.95,0.47,34.13,normal
2026-03-14T15:30:46.066946,DEV001,ventilator,0.518,0.62,98.3,0.404,31.72,normal
2026-03-14T15:30:46.066961,DEV001,ventilator,0.717,0.527,108.57,0.415,34.22,normal
2026-03-14T15:30:46.066981,DEV001,ventilator,0.35,0.993,93.16,0.356,32.85,normal
2026-03-14T15:30:46.067002,DEV001,ventilator,0.411,1.159,106.49,0.386,29.23,normal
2026-03-14T15:30:46.067018,DEV001,ventilator,0.65,0.604,93.28,0.497,30.97,normal
2026-03-14T15:30:46.067033,DEV001,ventilator,0.504,1.102,80.98,0.364,34.06,normal
2026-03-14T15:30:46.067048,DEV001,ventilator,0.753,1.044,94.46,0.488,28.51,normal
2026-03-14T15:30:46.067065,DEV001,ventilator,0.702,1.077,83.37,0.489,29.35,normal
2026-03-14T15:30:46.067082,DEV001,ventilator,0.681,1.072,83.37,0.453,28.55,normal
2026-03-14T15:30:46.067097,DEV001,ventilator,0.347,0.606,89.64,0.477,28.7,normal
2026-03-14T15:30:46.067112,DEV001,ventilator,0.491,1.018,105.91,0.474,33.12,normal
2026-03-14T15:30:46.067127,DEV001,ventilator,0.765,0.741,104.34,0.362,33.06,normal
2026-03-14T15:30:46.067142,DEV001,ventilator,0.781,0.838,86.04,0.363,32.16,normal
2026-03-14T15:30:46.067157,DEV001,ventilator,0.473,1.023,83.36,0.459,30.91,normal
2026-03-14T15:30:46.067172,DEV001,ventilator,0.731,0.896,106.45,0.394,34.71,normal
2026-03-14T15:30:46.067187,DEV001,ventilator,0.43,0.775,89.12,0.375,30.95,normal
2026-03-14T15:30:46.067207,DEV001,ventilator,0.421,0.628,80.88,0.455,28.89,normal
2026-03-14T15:30:46.067223,DEV001,ventilator,0.297,0.814,97.27,0.391,32.65,normal
2026-03-14T15:30:46.067238,DEV001,ventilator,0.207,0.909,106.68,0.403,30.0,normal
2026-03-14T15:30:46.067253,DEV001,ventilator,0.679,1.105,86.6,0.455,30.57,normal
2026-03-14T15:30:46.067274,DEV001,ventilator,1.448,2.677,175.84,0.776,60.84,anomaly
2026-03-14T15:30:46.067291,DEV001,ventilator,0.781,0.758,103.59,0.406,28.66,normal
2026-03-14T15:30:46.067306,DEV001,ventilator,1.419,3.941,177.86,0.848,52.71,anomaly
2026-03-14T15:30:46.067321,DEV001,ventilator,0.557,0.873,89.32,0.498,31.38,normal
2026-03-14T15:30:46.067336,DEV001,ventilator,0.799,1.14,90.57,0.411,32.32,normal
